State,Rel_Num_Sightings,Rel_Very_important,Rel_Somewhat_important,Rel_Not_too_important,Rel_Not_at_all_important,Rel_Dont_know,Rel_Sample_size,Total_Resident_Population,Population_Density
AK,0.0009337726166096688,0.41,0.29,0.13,0.16,0.01,310,327403.0,0.5666666666666668
AL,0.0002660777149121356,0.77,0.13,0.06,0.04,0.0,511,3493643.0,68.99166666666666
AR,0.0004060671028326312,0.7,0.16,0.07,0.05,0.01,311,2165634.0,41.62499999999999
AZ,0.0007538567769467778,0.51,0.24,0.13,0.11,0.01,653,2529466.0,22.266666666666666
CA,0.00041767480399443324,0.47,0.26,0.13,0.14,0.01,3697,19061447.0,122.34166666666664
CO,0.0006041772877193261,0.47,0.28,0.12,0.13,0.01,504,2539380.0,24.5
CT,0.0005348996121270763,0.42,0.27,0.17,0.14,0.0,377,2530504.0,522.575
DC,0.00022550840182379822,0.5,0.21,0.14,0.14,0.01,303,612484.0,10031.5
DE,0.00044118346255038433,0.46,0.31,0.1,0.11,0.01,301,514557.0,264.05
FL,0.00042205562704733816,0.53,0.25,0.11,0.11,0.01,2020,8217096.0,153.21666666666667
GA,0.0002710552631904383,0.64,0.2,0.07,0.08,0.01,968,5336816.0,92.74166666666666
HI,0.0004427198614718683,0.44,0.32,0.13,0.1,0.01,312,770054.0,119.89166666666664
IA,0.00037045330993200874,0.53,0.26,0.11,0.09,0.0,330,2724550.0,48.76666666666666
ID,0.0007874692179861202,0.51,0.25,0.12,0.13,0.0,320,862257.0,10.441666666666666
IL,0.0003119429573445985,0.5,0.27,0.13,0.1,0.0,1326,9873219.0,177.83333333333334
IN,0.00038734754175684367,0.53,0.25,0.11,0.1,0.01,654,4706013.0,131.35833333333335
KS,0.0003864607827022553,0.5,0.29,0.14,0.07,0.01,307,2232782.0,27.3
KY,0.0003648125899142626,0.63,0.23,0.07,0.07,0.0,439,3300122.0,83.575
LA,0.00022853494042785917,0.71,0.19,0.04,0.06,0.0,465,3299016.0,76.34166666666665
MA,0.0003790399765299912,0.33,0.3,0.16,0.2,0.01,704,5249456.0,672.9916666666667
MD,0.00029450754334237083,0.5,0.25,0.12,0.12,0.01,644,3484131.0,358.90000000000003
ME,0.0008388473640684814,0.34,0.29,0.15,0.21,0.01,303,1029029.0,33.37500000000001
MI,0.0003397917776995345,0.5,0.27,0.11,0.11,0.01,982,7341987.0,129.84166666666667
MN,0.0003711686938427651,0.46,0.28,0.13,0.13,0.01,563,3700114.0,46.48333333333334
MO,0.0004306885870024022,0.56,0.26,0.1,0.07,0.01,642,4569600.0,66.45833333333333
MS,0.0002469579221406123,0.74,0.15,0.06,0.04,0.01,309,2351867.0,50.1
MT,0.0009333784203678012,0.44,0.25,0.15,0.15,0.01,312,711983.0,4.891666666666667
NC,0.00036860809784640126,0.62,0.22,0.08,0.08,0.01,1022,5478503.0,112.675
ND,0.00036376770591009706,0.53,0.23,0.15,0.09,0.0,338,650163.0,9.441666666666666
NE,0.0003147267936400492,0.44,0.29,0.1,0.16,0.01,314,925036.0,8.425
NH,0.0008580623438679768,0.33,0.27,0.23,0.15,0.01,303,805664.0,89.98333333333333
NJ,0.00030355522889818464,0.5,0.28,0.11,0.09,0.01,886,6129591.0,833.4666666666666
NM,0.0007454705398518637,0.59,0.2,0.06,0.13,0.01,312,1092059.0,9.008333333333333
NV,0.0008082744657796411,0.54,0.25,0.12,0.08,0.01,312,1504170.0,19.575
NY,0.0002793406190677453,0.45,0.27,0.12,0.15,0.01,1966,15793321.0,335.13333333333327
OH,0.00035679955743608626,0.56,0.25,0.09,0.1,0.01,1132,9059975.0,221.7416666666667
OK,0.0003679528355383177,0.64,0.23,0.04,0.08,0.01,391,2739251.0,39.94166666666666
OR,0.0008689464751030701,0.45,0.25,0.12,0.17,0.01,419,2153849.0,22.425
PA,0.0003601811495451695,0.51,0.26,0.12,0.11,0.01,1366,10938301.0,244.48333333333332
RI,0.0005298982752644798,0.48,0.25,0.1,0.18,0.0,305,857904.0,829.8333333333334
SC,0.0004557628325013255,0.69,0.16,0.08,0.06,0.01,495,2857680.0,95.06666666666666
SD,0.0004284145681052504,0.57,0.24,0.09,0.09,0.0,305,699789.0,9.233333333333334
TN,0.0003404405095777805,0.71,0.18,0.05,0.06,0.01,661,4104342.0,99.54166666666664
TX,0.00024045386513990612,0.63,0.23,0.07,0.08,0.0,2535,12970458.0,49.66666666666666
UT,0.000511831930288688,0.58,0.15,0.14,0.11,0.02,315,1331019.0,16.191666666666666
VA,0.0003186963177499262,0.6,0.21,0.1,0.08,0.01,882,4720804.0,119.54166666666664
VT,0.0008891188135661909,0.32,0.25,0.21,0.22,0.01,306,465920.0,50.55833333333333
WA,0.001020735995412895,0.44,0.23,0.17,0.16,0.01,714,3646861.0,54.86666666666667
WI,0.00040311639364666975,0.44,0.31,0.12,0.12,0.01,600,4115710.0,75.99166666666666
WV,0.000445769400552653,0.64,0.22,0.07,0.05,0.02,309,1760365.0,73.22500000000001
WY,0.0006568175514725631,0.49,0.28,0.13,0.09,0.0,316,360591.0,3.7083333333333326
