State,Rel_Num_Sightings,Rel_Very_important,Rel_Somewhat_important,Rel_Not_too_important,Rel_Not_at_all_important,Rel_Dont_know,Rel_Sample_size,Total_Resident_Population,Population_Density,Illicit_Drug_Use,Marijuana_Use,Illicit_Drug_Use_Other_Than_Marijuana,Binge_Alcohol_Use,Illicit_Drug_Use_Disorder,Serious_Mental_Illness,Any_Mental_Illness
AK,0.0009337726166096688,0.41,0.29,0.13,0.16,0.01,310,327403.0,0.5666666666666668,0.2291,0.2252,0.0328,0.233,0.1325,0.0638,0.2619
AL,0.0002660777149121356,0.77,0.13,0.06,0.04,0.0,511,3493643.0,68.99166666666666,0.1004,0.0777,0.0325,0.204,0.0897,0.0632,0.2253
AR,0.0004060671028326312,0.7,0.16,0.07,0.05,0.01,311,2165634.0,41.62499999999999,0.1178,0.0972,0.033,0.2227,0.09,0.065,0.2302
AZ,0.0007538567769467778,0.51,0.24,0.13,0.11,0.01,653,2529466.0,22.266666666666666,0.192,0.1909,0.0305,0.2236,0.0905,0.0563,0.2178
CA,0.00041767480399443324,0.47,0.26,0.13,0.14,0.01,3697,19061447.0,122.34166666666664,0.1665,0.1515,0.0438,0.2226,0.0845,0.061,0.2283
CO,0.0006041772877193261,0.47,0.28,0.12,0.13,0.01,504,2539380.0,24.5,0.2115,0.1977,0.0405,0.2551,0.1058,0.0601,0.2497
CT,0.0005348996121270763,0.42,0.27,0.17,0.14,0.0,377,2530504.0,522.575,0.1616,0.1428,0.0338,0.2151,0.0746,0.0431,0.2021
DC,0.00022550840182379822,0.5,0.21,0.14,0.14,0.01,303,612484.0,10031.5,0.2421,0.2261,0.0478,0.3233,0.1113,0.0483,0.2849
DE,0.00044118346255038433,0.46,0.31,0.1,0.11,0.01,301,514557.0,264.05,0.1748,0.1586,0.0368,0.2415,0.0877,0.043,0.1996
FL,0.00042205562704733816,0.53,0.25,0.11,0.11,0.01,2020,8217096.0,153.21666666666667,0.1221,0.1126,0.0257,0.2177,0.0769,0.0524,0.2098
GA,0.0002710552631904383,0.64,0.2,0.07,0.08,0.01,968,5336816.0,92.74166666666666,0.1281,0.121,0.0327,0.1934,0.0878,0.0527,0.2314
HI,0.0004427198614718683,0.44,0.32,0.13,0.1,0.01,312,770054.0,119.89166666666664,0.1111,0.0983,0.0298,0.2302,0.0654,0.0508,0.2097
IA,0.00037045330993200874,0.53,0.26,0.11,0.09,0.0,330,2724550.0,48.76666666666666,0.1309,0.1195,0.0298,0.2654,0.1018,0.0646,0.2526
ID,0.0007874692179861202,0.51,0.25,0.12,0.13,0.0,320,862257.0,10.441666666666666,0.1225,0.1078,0.0288,0.2129,0.0902,0.0688,0.2667
IL,0.0003119429573445985,0.5,0.27,0.13,0.1,0.0,1326,9873219.0,177.83333333333334,0.1696,0.1554,0.0325,0.2392,0.087,0.0427,0.216
IN,0.00038734754175684367,0.53,0.25,0.11,0.1,0.01,654,4706013.0,131.35833333333335,0.137,0.1246,0.0296,0.2301,0.1064,0.0602,0.237
KS,0.0003864607827022553,0.5,0.29,0.14,0.07,0.01,307,2232782.0,27.3,0.1383,0.1291,0.0275,0.2592,0.0953,0.0653,0.2306
KY,0.0003648125899142626,0.63,0.23,0.07,0.07,0.0,439,3300122.0,83.575,0.1197,0.1039,0.0335,0.207,0.1017,0.0676,0.2305
LA,0.00022853494042785917,0.71,0.19,0.04,0.06,0.0,465,3299016.0,76.34166666666665,0.1514,0.136,0.0383,0.2567,0.1048,0.0585,0.2354
MA,0.0003790399765299912,0.33,0.3,0.16,0.2,0.01,704,5249456.0,672.9916666666667,0.1907,0.1814,0.0368,0.2296,0.0846,0.048,0.2279
MD,0.00029450754334237083,0.5,0.25,0.12,0.12,0.01,644,3484131.0,358.90000000000003,0.156,0.1487,0.0339,0.2428,0.0954,0.0439,0.2313
ME,0.0008388473640684814,0.34,0.29,0.15,0.21,0.01,303,1029029.0,33.37500000000001,0.2095,0.1937,0.0298,0.1889,0.0951,0.0531,0.2328
MI,0.0003397917776995345,0.5,0.27,0.11,0.11,0.01,982,7341987.0,129.84166666666667,0.1993,0.1927,0.029,0.2494,0.0877,0.0541,0.2175
MN,0.0003711686938427651,0.46,0.28,0.13,0.13,0.01,563,3700114.0,46.48333333333334,0.1462,0.1362,0.025,0.2633,0.0876,0.0549,0.2491
MO,0.0004306885870024022,0.56,0.26,0.1,0.07,0.01,642,4569600.0,66.45833333333333,0.1543,0.1507,0.0303,0.2285,0.0992,0.0606,0.2448
MS,0.0002469579221406123,0.74,0.15,0.06,0.04,0.01,309,2351867.0,50.1,0.1391,0.1239,0.0315,0.2158,0.0944,0.0592,0.2192
MT,0.0009333784203678012,0.44,0.25,0.15,0.15,0.01,312,711983.0,4.891666666666667,0.1822,0.1631,0.03,0.2563,0.1009,0.0704,0.2681
NC,0.00036860809784640126,0.62,0.22,0.08,0.08,0.01,1022,5478503.0,112.675,0.116,0.1026,0.03,0.2048,0.0807,0.0525,0.2253
ND,0.00036376770591009706,0.53,0.23,0.15,0.09,0.0,338,650163.0,9.441666666666666,0.1138,0.104,0.0283,0.2834,0.0893,0.0706,0.2579
NE,0.0003147267936400492,0.44,0.29,0.1,0.16,0.01,314,925036.0,8.425,0.2025,0.1929,0.0443,0.2539,0.1266,0.0722,0.2542
NH,0.0008580623438679768,0.33,0.27,0.23,0.15,0.01,303,805664.0,89.98333333333333,0.155,0.1304,0.0409,0.243,0.0781,0.0517,0.2199
NJ,0.00030355522889818464,0.5,0.28,0.11,0.09,0.01,886,6129591.0,833.4666666666666,0.1369,0.1247,0.0401,0.251,0.0724,0.0406,0.1906
NM,0.0007454705398518637,0.59,0.2,0.06,0.13,0.01,312,1092059.0,9.008333333333333,0.21,0.1898,0.0427,0.2388,0.1283,0.0576,0.2442
NV,0.0008082744657796411,0.54,0.25,0.12,0.08,0.01,312,1504170.0,19.575,0.1183,0.1037,0.0255,0.2719,0.0865,0.0764,0.24
NY,0.0002793406190677453,0.45,0.27,0.12,0.15,0.01,1966,15793321.0,335.13333333333327,0.1753,0.1613,0.0385,0.2392,0.0792,0.0423,0.2017
OH,0.00035679955743608626,0.56,0.25,0.09,0.1,0.01,1132,9059975.0,221.7416666666667,0.1583,0.1443,0.0349,0.2635,0.0974,0.0587,0.243
OK,0.0003679528355383177,0.64,0.23,0.04,0.08,0.01,391,2739251.0,39.94166666666666,0.1821,0.1739,0.0324,0.2265,0.122,0.065,0.279
OR,0.0008689464751030701,0.45,0.25,0.12,0.17,0.01,419,2153849.0,22.425,0.2189,0.1934,0.0376,0.2387,0.099,0.0647,0.2732
PA,0.0003601811495451695,0.51,0.26,0.12,0.11,0.01,1366,10938301.0,244.48333333333332,0.1534,0.1326,0.0404,0.2285,0.0862,0.0527,0.2219
RI,0.0005298982752644798,0.48,0.25,0.1,0.18,0.0,305,857904.0,829.8333333333334,0.2051,0.1817,0.0446,0.2568,0.1027,0.0599,0.2585
SC,0.0004557628325013255,0.69,0.16,0.08,0.06,0.01,495,2857680.0,95.06666666666666,0.1301,0.1095,0.034,0.2467,0.0844,0.0543,0.2235
SD,0.0004284145681052504,0.57,0.24,0.09,0.09,0.0,305,699789.0,9.233333333333334,0.1043,0.0891,0.0329,0.2566,0.0858,0.0674,0.2341
TN,0.0003404405095777805,0.71,0.18,0.05,0.06,0.01,661,4104342.0,99.54166666666664,0.1244,0.1038,0.0395,0.2102,0.0961,0.0649,0.2489
TX,0.00024045386513990612,0.63,0.23,0.07,0.08,0.0,2535,12970458.0,49.66666666666666,0.0903,0.0824,0.0221,0.2438,0.0717,0.0568,0.217
UT,0.000511831930288688,0.58,0.15,0.14,0.11,0.02,315,1331019.0,16.191666666666666,0.1153,0.0975,0.0295,0.1741,0.086,0.0715,0.2534
VA,0.0003186963177499262,0.6,0.21,0.1,0.08,0.01,882,4720804.0,119.54166666666664,0.1353,0.1276,0.0323,0.2422,0.0813,0.0506,0.2224
VT,0.0008891188135661909,0.32,0.25,0.21,0.22,0.01,306,465920.0,50.55833333333333,0.2493,0.2327,0.034,0.2613,0.1157,0.0645,0.2521
WA,0.001020735995412895,0.44,0.23,0.17,0.16,0.01,714,3646861.0,54.86666666666667,0.2053,0.1917,0.0301,0.2163,0.1047,0.0557,0.2689
WI,0.00040311639364666975,0.44,0.31,0.12,0.12,0.01,600,4115710.0,75.99166666666666,0.1373,0.1168,0.0325,0.2807,0.084,0.06,0.2376
WV,0.000445769400552653,0.64,0.22,0.07,0.05,0.02,309,1760365.0,73.22500000000001,0.1488,0.1234,0.0396,0.1616,0.1009,0.0642,0.2392
WY,0.0006568175514725631,0.49,0.28,0.13,0.09,0.0,316,360591.0,3.7083333333333326,0.1329,0.1126,0.0341,0.2386,0.1011,0.0673,0.2568
